c1,c2,c3,c4,c5
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
0,1,0,0,0
0,1,0,0,0
0,1,0,0,0
0,1,0,0,0
0,1,0,0,0
0,1,0,0,0
0,1,0,0,0
0,1,0,0,0
0,1,0,0,0
0,1,0,0,0
0,1,0,0,0
0,1,0,0,0
0,1,0,0,0
0,1,0,0,0
0,1,0,0,0
0,0,1,0,0
0,0,1,0,0
0,0,1,0,0
0,0,1,0,0
0,0,1,0,0
0,0,1,0,0
0,0,1,0,0
0,0,1,0,0
0,0,1,0,0
0,0,1,0,0
0,0,1,0,0
0,0,1,0,0
0,0,1,0,0
0,0,1,0,0
0,0,1,0,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,0,1
0,0,0,0,1
0,0,0,0,1
0,0,0,0,1
0,0,0,0,1
0,0,0,0,1
0,0,0,0,1
0,0,0,0,1
0,0,0,0,1
0,0,0,0,1
0,0,0,0,1
0,0,0,0,1
0,0,0,0,1
0,0,0,0,1
0,0,0,0,1
0,0,0,0.611958,0.388042
0,0,0,0.611958,0.388042
0,0,0,0.611958,0.388042
0,0,0,0.611958,0.388042
0,0,0,0.611958,0.388042
0,0,0,0.611958,0.388042
0,0,0,0.611958,0.388042
0,0,0,0.611958,0.388042
0,0,0,0.611958,0.388042
0,0,0,0.611958,0.388042
0,0,0,0.611958,0.388042
0,0,0,0.611958,0.388042
0,0,0,0.611958,0.388042
0,0,0,0.611958,0.388042
0,0,0,0.611958,0.388042
0,0,0,0.38150062,0.61849938
0,0,0,0.38150062,0.61849938
0,0,0,0.38150062,0.61849938
0,0,0,0.38150062,0.61849938
0,0,0,0.38150062,0.61849938
0,0,0,0.38150062,0.61849938
0,0,0,0.38150062,0.61849938
0,0,0,0.38150062,0.61849938
