C11,C21,C31,C12,C22,C32,C13,C23,C33,dens
0.13357198,0.066274421,-5.3215406e-13,0.066274421,0.34473255,-4.2903304e-12,-5.3257661e-13,-4.2908734e-12,0.040496265,0.4784
0.13357198,0.066274421,-5.3231869e-13,0.066274421,0.34473255,-4.2892931e-12,-5.3138261e-13,-4.2906372e-12,0.040496265,0.4784
0.13357198,0.066274421,-5.3199465e-13,0.066274421,0.34473255,-4.2908803e-12,-5.3292115e-13,-4.2905162e-12,0.040496265,0.4784
0.13357199,0.066274422,-5.3222446e-13,0.066274422,0.34473256,-4.2904094e-12,-5.3151566e-13,-4.2910579e-12,0.040496267,0.4784
0.13357253,0.06627459,-5.3258262e-13,0.06627459,0.34473339,-4.2902292e-12,-5.319597e-13,-4.2894193e-12,0.040496478,0.4784
0.13362443,0.066290752,-5.3311587e-13,0.066290752,0.34481385,-4.2886188e-12,-5.3323267e-13,-4.2892715e-12,0.040516819,0.4784
0.1384532,0.067773583,-5.9544777e-13,0.067773583,0.35224287,-4.1309819e-12,-5.9490821e-13,-4.1316461e-12,0.042411203,0.48
0.29150609,0.10160603,-1.6666586e-12,0.10160603,0.53186898,2.4520038e-12,-1.6672392e-12,2.4512615e-12,0.097456711,0.6432
0.72886169,0.20605785,2.2550669e-14,0.20605785,0.8037889,2.243671e-14,2.2561391e-14,2.3225063e-14,0.23083674,0.8736
0.97552853,0.29334327,2.4866231e-14,0.29334327,1.0232431,2.4879343e-14,2.5549692e-14,2.5046586e-14,0.34443995,0.9696
1.0986246,0.32958754,2.5913675e-14,0.32958754,1.0986277,2.5648251e-14,2.7370321e-14,2.477968e-14,0.38451876,1
1.0989011,0.32967032,2.6241008e-14,0.32967032,1.0989011,2.5987578e-14,2.5577653e-14,2.6719508e-14,0.38461537,1
1.0989011,0.32967033,2.6503953e-14,0.32967033,1.0989011,2.6616198e-14,2.5021816e-14,2.6102867e-14,0.38461538,1
1.0989011,0.32967033,2.778363e-14,0.32967033,1.0989011,2.621533e-14,2.5075779e-14,2.4526601e-14,0.38461538,1
1.0989011,0.32967033,2.6011831e-14,0.32967033,1.0989011,2.6674796e-14,2.5387968e-14,2.8851728e-14,0.38461538,1
0.16338908,0.025040515,1.1030111e-14,0.025040515,0.31826335,1.0812802e-14,1.1364616e-14,1.1205268e-14,0.014866258,0.4288
0.16338908,0.025040515,1.1196082e-14,0.025040515,0.31826335,1.1502331e-14,1.1217658e-14,1.1161725e-14,0.014866258,0.4288
0.16338908,0.025040515,1.0990062e-14,0.025040515,0.31826335,1.1676673e-14,1.1060978e-14,1.1740351e-14,0.014866258,0.4288
0.16338916,0.025040532,1.0935216e-14,0.025040532,0.31826341,1.1327891e-14,1.1105556e-14,1.1090465e-14,0.014866271,0.4288
0.16339691,0.025042158,1.0659565e-14,0.025042158,0.31826962,1.1050864e-14,1.1505181e-14,1.0569407e-14,0.014867554,0.4288
0.16414003,0.025198313,1.1081185e-14,0.025198313,0.31886504,1.1454302e-14,1.1446771e-14,1.1298482e-14,0.014990931,0.4288
0.20745252,0.035030362,1.2419311e-14,0.035030362,0.35499632,1.3196132e-14,1.2203901e-14,1.2894135e-14,0.023289221,0.4736
0.39331806,0.091825249,1.6911318e-14,0.091825249,0.52843796,1.7882545e-14,1.7014677e-14,1.6423559e-14,0.083455038,0.6528
0.60328459,0.17232218,2.1311912e-14,0.17232218,0.73573197,2.0462554e-14,2.0389285e-14,2.1508301e-14,0.18614504,0.8096
0.8201062,0.25241425,2.4160235e-14,0.25241425,0.94026529,2.3149484e-14,2.4053389e-14,2.3869171e-14,0.29447983,0.9232
1.0745372,0.32284264,2.5506023e-14,0.32284264,1.083464,2.5983123e-14,2.5239125e-14,2.7037905e-14,0.3768725,0.9904
1.0988967,0.32966901,2.6891672e-14,0.32966901,1.0988967,2.5458581e-14,2.6739316e-14,2.6041276e-14,0.38461385,1
1.0989011,0.32967033,2.5622623e-14,0.32967033,1.0989011,2.6022895e-14,2.4779212e-14,2.6394579e-14,0.38461538,1
1.0989011,0.32967033,2.5137356e-14,0.32967033,1.0989011,2.510514e-14,2.6553641e-14,2.4819104e-14,0.38461538,1
1.0989011,0.32967033,2.6234858e-14,0.32967033,1.0989011,2.5841573e-14,2.5626045e-14,2.8235519e-14,0.38461538,1
0.13357198,0.066274421,-5.3218713e-13,0.066274421,0.34473255,-4.2906114e-12,-5.3223167e-13,-4.2892404e-12,0.040496265,0.4784
0.13357198,0.066274421,-5.323311e-13,0.066274421,0.34473255,-4.2906288e-12,-5.3193023e-13,-4.2905239e-12,0.040496265,0.4784
0.13357198,0.066274421,-5.3194765e-13,0.066274421,0.34473255,-4.290567e-12,-5.3202061e-13,-4.2905559e-12,0.040496265,0.4784
0.13357199,0.066274422,-5.3201634e-13,0.066274422,0.34473256,-4.2902561e-12,-5.3225872e-13,-4.2894497e-12,0.040496267,0.4784
0.13357247,0.066274567,-5.3186503e-13,0.066274567,0.34473341,-4.2903268e-12,-5.3209321e-13,-4.2900841e-12,0.040496451,0.4784
0.13361878,0.066288559,-5.3379427e-13,0.066288559,0.34481624,-4.2887289e-12,-5.3455327e-13,-4.2881027e-12,0.040514241,0.4784
0.13794863,0.067580135,-7.6050001e-13,0.067580135,0.35245754,-4.1339923e-12,-7.6034889e-13,-4.1356698e-12,0.042180481,0.4832
0.28607346,0.099502595,-1.1157493e-11,0.099502595,0.53554705,3.0326615e-12,-1.1157917e-11,3.032679e-12,0.095329158,0.6432
0.73011728,0.2073084,2.4008879e-14,0.2073084,0.80977832,2.3593783e-14,2.4414646e-14,2.3068097e-14,0.2330133,0.8752
0.98520971,0.29665786,2.5704579e-14,0.29665786,1.0315744,2.4868935e-14,2.3892617e-14,2.5578462e-14,0.34852179,0.9696
1.0987412,0.32962241,2.7005769e-14,0.32962241,1.0987422,2.6394413e-14,2.5806607e-14,2.5558518e-14,0.38455947,1
1.0989011,0.32967032,2.643915e-14,0.32967032,1.0989011,2.5802948e-14,2.6169154e-14,2.5963653e-14,0.38461538,1
1.0989011,0.32967033,2.6179159e-14,0.32967033,1.0989011,2.5238989e-14,2.6352257e-14,2.7486209e-14,0.38461538,1
1.0989011,0.32967033,2.6920052e-14,0.32967033,1.0989011,2.5324909e-14,2.6094586e-14,3.2279092e-14,0.38461538,1
1.0989011,0.32967033,2.6011831e-14,0.32967033,1.0989011,2.6674796e-14,2.5387968e-14,2.8851728e-14,0.38461538,1
0.31238208,0.091525209,-7.0487229e-13,0.091525209,0.45009996,-3.6293841e-12,-7.0496398e-13,-3.6298233e-12,0.066530765,0.6128
0.31238208,0.091525209,-7.046332e-13,0.091525209,0.45009996,-3.6285739e-12,-7.0484172e-13,-3.6297829e-12,0.066530765,0.6128
0.31238208,0.091525209,-7.0491667e-13,0.091525209,0.45009996,-3.6289121e-12,-7.0496659e-13,-3.6280582e-12,0.066530765,0.6128
0.31238209,0.09152521,-7.0481975e-13,0.09152521,0.45009997,-3.6298754e-12,-7.0458593e-13,-3.6289078e-12,0.066530765,0.6128
0.31238251,0.091525295,-7.0364069e-13,0.091525295,0.45010075,-3.6282598e-12,-7.0482446e-13,-3.6294182e-12,0.066530826,0.6128
0.3124237,0.091533504,-7.0151299e-13,0.091533504,0.45017611,-3.6264478e-12,-7.0033358e-13,-3.6258736e-12,0.066536662,0.6128
0.31628086,0.092272786,-2.1253602e-13,0.092272786,0.45705707,-3.3073e-12,-2.1291454e-13,-3.3060689e-12,0.067075592,0.616
