C11,C21,C31,C12,C22,C32,C13,C23,C33,dens
0.22654403,1.0319627e-09,5.9090685e-15,1.0319625e-09,3.4398975e-09,5.7057536e-15,6.1337217e-15,6.4221471e-15,1.2039663e-09,0.24
0.28136148,1.162995e-09,7.8413532e-15,1.1629939e-09,3.8766765e-09,7.0869153e-15,6.5263128e-15,9.0683204e-15,1.3568392e-09,0.28
0.35286504,1.3069955e-09,9.5387067e-15,1.3069948e-09,4.3566859e-09,9.3821405e-15,8.1586805e-15,8.7569835e-15,1.5248445e-09,0.36
0.41895214,1.4959065e-09,1.0369076e-14,1.4959064e-09,4.9863921e-09,1.1460019e-14,1.0982466e-14,1.0965008e-14,1.7452438e-09,0.4
0.48575779,1.8146821e-09,1.2835032e-14,1.8146809e-09,6.0489823e-09,1.4124931e-14,1.2679841e-14,1.2624543e-14,2.1171524e-09,0.48
0.55772941,2.249092e-09,1.4882334e-14,2.2490936e-09,7.4970164e-09,1.3626326e-14,1.4887927e-14,9.9449158e-15,2.6239692e-09,0.56
0.62703976,2.7720811e-09,1.7131335e-14,2.772081e-09,9.2403411e-09,1.673037e-14,1.5304731e-14,1.8638938e-14,3.2341249e-09,0.64
0.69200946,4.0818511e-09,1.8070893e-14,4.0818523e-09,1.3606236e-08,1.7311733e-14,1.8473179e-14,1.8954744e-14,4.7621938e-09,0.68
0.76173795,7.6245058e-09,1.9114166e-14,7.6245078e-09,2.5415076e-08,2.0199184e-14,2.0717862e-14,1.6972429e-14,8.8952955e-09,0.76
0.83355194,2.8888026e-08,2.1947385e-14,2.8888026e-08,9.6293486e-08,1.954593e-14,2.1077531e-14,2.3920324e-14,3.3702737e-08,0.84
0.90003355,0.00019377505,2.3889485e-14,0.00019377505,0.00064591682,2.4276963e-14,2.367707e-14,2.1776579e-14,0.00022607089,0.88
1.0500517,0.27893055,2.5049296e-14,0.27893055,0.92976849,2.6560651e-14,2.5420161e-14,2.5161155e-14,0.32541897,0.96
3.4275064e-09,1.0282453e-09,5.3292181e-15,1.0282457e-09,0.21409341,5.6323192e-15,6.3037002e-15,4.8110995e-15,1.1996287e-09,0.2
3.4275065e-09,1.0282451e-09,5.4740007e-15,1.0282453e-09,0.21409515,5.716033e-15,5.5178939e-15,5.6035597e-15,1.1996293e-09,0.2
3.4276172e-09,1.0282791e-09,5.4573773e-15,1.028279e-09,0.21426302,4.9763206e-15,5.5101359e-15,5.8019595e-15,1.1996681e-09,0.2
3.4398972e-09,1.0319626e-09,5.9164565e-15,1.0319619e-09,0.22654403,6.4464567e-15,5.0114837e-15,6.6942923e-15,1.2039668e-09,0.24
3.876675e-09,1.1629941e-09,7.3683213e-15,1.1629944e-09,0.28136148,7.7600819e-15,8.0834836e-15,7.0991607e-15,1.3568396e-09,0.28
4.3566752e-09,1.3069948e-09,9.4857048e-15,1.3069954e-09,0.35286504,9.759021e-15,6.9464248e-15,1.0144566e-14,1.5248448e-09,0.36
4.9863927e-09,1.4959068e-09,1.0695742e-14,1.4959075e-09,0.41895214,1.1631035e-14,1.0559199e-14,1.1075398e-14,1.745244e-09,0.4
6.0489805e-09,1.8146816e-09,1.2794588e-14,1.8146814e-09,0.48575779,1.2401367e-14,1.3000131e-14,1.2509477e-14,2.1171502e-09,0.48
7.4970294e-09,2.2490928e-09,1.3954041e-14,2.249094e-09,0.55772941,1.5746115e-14,1.5854667e-14,1.3126773e-14,2.6239698e-09,0.56
9.2403238e-09,2.7720821e-09,1.5766963e-14,2.7720803e-09,0.62703976,1.5074632e-14,1.4452002e-14,1.5457883e-14,3.2341221e-09,0.64
1.3606231e-08,4.0818515e-09,1.681608e-14,4.0818538e-09,0.69200946,1.9138136e-14,1.9247367e-14,1.7273377e-14,4.7621942e-09,0.68
2.5415084e-08,7.6245057e-09,1.9503773e-14,7.624506e-09,0.76173795,2.0725701e-14,1.8876827e-14,1.669759e-14,8.8952954e-09,0.76
9.629349e-08,2.8888026e-08,2.1179382e-14,2.8888027e-08,0.83355194,2.1494725e-14,2.3172916e-14,2.0006797e-14,3.3702737e-08,0.84
0.00064591682,0.00019377505,2.3244539e-14,0.00019377505,0.90003355,2.4029456e-14,2.0883959e-14,2.282603e-14,0.00022607089,0.88
0.92976849,0.27893055,2.4828665e-14,0.27893055,1.0500517,2.4655187e-14,2.5781426e-14,2.4493781e-14,0.32541897,0.96
0.22363834,0.017375163,9.9777466e-15,0.017375163,0.20281555,9.8194098e-15,9.4873471e-15,9.4885843e-15,0.0057806311,0.36
0.22363863,0.017375265,9.9727088e-15,0.017375265,0.20281574,8.5008549e-15,9.8699702e-15,1.1148929e-14,0.0057806706,0.36
0.22366655,0.017385109,9.4098484e-15,0.017385109,0.20283406,9.2960126e-15,1.00108e-14,1.0020086e-14,0.0057844746,0.36
0.22557186,0.018056746,9.0368324e-15,0.018056746,0.20411061,9.7856125e-15,9.9916914e-15,1.1031817e-14,0.0060521149,0.3616
0.23957869,0.022705659,9.6027046e-15,0.022705659,0.21375958,9.7946096e-15,1.0799067e-14,1.0549905e-14,0.00832017,0.376
0.26506367,0.028836755,9.8750737e-15,0.028836755,0.2288886,9.2430603e-15,9.9294412e-15,1.1057038e-14,0.012987125,0.4096
0.30364174,0.037075831,1.1876255e-14,0.037075831,0.24923458,1.1326908e-14,1.1708899e-14,1.0892063e-14,0.021638712,0.464
0.36179178,0.049611342,1.4436729e-14,0.049611342,0.27642716,1.3774808e-14,1.4437574e-14,1.3722963e-14,0.037642423,0.5376
0.46058749,0.071055995,1.6685174e-14,0.071055995,0.31345034,1.6675139e-14,1.6243048e-14,1.6731224e-14,0.066168984,0.6224
0.58005579,0.10044647,1.8063868e-14,0.10044647,0.36334076,1.84051e-14,1.8311241e-14,1.9941265e-14,0.11285806,0.7136
0.70599628,0.14551999,2.0639418e-14,0.14551999,0.46621553,2.0716797e-14,1.9687833e-14,2.0941963e-14,0.1801172,0.8032
0.83707198,0.21151807,2.3557958e-14,0.21151807,0.6569753,2.2504876e-14,2.2150265e-14,2.2318411e-14,0.2548496,0.8816
0.956165,0.26858862,2.4563049e-14,0.26858862,0.84728164,2.4513715e-14,2.4182099e-14,2.3853047e-14,0.3171486,0.9392
